Row in draft CSV,Post ID,Day,Proposed date,Time America/New_York,Graphic filename,Alt text
1,P01,1,2026-09-21,10:00,graphics/01_follow_up_hook.png,Your next client is waiting for a reply. Campaign illustration about improving AI and outreach workflows.
2,P02,3,2026-09-23,10:00,graphics/05_response_owner.png,Who owns the next reply? Campaign illustration about improving AI and outreach workflows.
3,P03,5,2026-09-25,10:00,graphics/06_one_lead.png,Follow one enquiry. Find the gaps. Campaign illustration about improving AI and outreach workflows.
4,P04,8,2026-09-28,10:00,graphics/02_ai_workflow_hook.png,Give your AI a useful next step. Campaign illustration about improving AI and outreach workflows.
5,P05,10,2026-09-30,10:00,graphics/07_human_handoff.png,Good AI knows when to hand over. Campaign illustration about improving AI and outreach workflows.
6,P06,12,2026-10-02,10:00,graphics/08_start_small.png,Start with one useful workflow. Campaign illustration about improving AI and outreach workflows.
7,P07,15,2026-10-05,10:00,graphics/03_reach_hook.png,Reach the right people. Start better conversations. Campaign illustration about improving AI and outreach workflows.
8,P08,17,2026-10-07,10:00,graphics/09_relevance.png,Give people a reason to reply. Campaign illustration about improving AI and outreach workflows.
9,P09,19,2026-10-09,10:00,graphics/10_useful_followup.png,Make your follow-up useful. Campaign illustration about improving AI and outreach workflows.
10,P10,22,2026-10-12,10:00,graphics/04_booking_hook.png,Make it easy to take the next step. Campaign illustration about improving AI and outreach workflows.
11,P11,24,2026-10-14,10:00,graphics/11_measure.png,Measure the conversations that matter. Campaign illustration about improving AI and outreach workflows.
12,P12,26,2026-10-16,10:00,graphics/12_review.png,Bring one workflow. Leave with a next step. Campaign illustration about improving AI and outreach workflows.
